Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Min Exposure,Projected Ownership,Expected Success,Expected Failure,Expected Value,Min Deviation,Max Deviation
44002-110358,SG,Kyle,Kyle Guy,Guy,1,2,3500,SAC@OKC,SAC,OKC,,,,0.7,0,0.5,0.4,0.4,1.95,0.3,0.5
44002-110365,PF,Alen,Alen Smailagic,Smailagic,8.635714395,14,3500,LAL@GS,GS,LAL,,,,0.7,0,0.4,0.5,0.5,1.96,0.3,0.5
44002-15904,SF,Rodney,Rodney Hood,Hood,19.44761876,21,3500,POR@IND,POR,IND,O,Achilles,,0.7,0,0.3,0.6,0.6,1.97,0.3,0.5
44002-117286,C,Moses,Moses Brown,Brown,3.588888804,9,3500,POR@IND,POR,IND,,,,0.7,0,0.6,0.7,0.7,1.98,0.3,0.5
44002-110637,SF,Darius,Darius Bazley,Bazley,12.1075474,53,3500,SAC@OKC,OKC,SAC,O,Knee,,0.7,0,0.2,0.8,0.8,1.99,0.3,0.5
44002-9524,PG,Stephen,Stephen Curry,Curry,37.5,4,3500,LAL@GS,GS,LAL,O,Hand,,0.7,0,0.5,0.9,0.9,2,0.3,0.5
44002-117301,PF,Devontae,Devontae Cacok,Cacok,0,0,3500,LAL@GS,LAL,GS,,,,0.7,0,0.4,0.1,0.1,2.01,0.3,0.5
44002-16183,SF,JaKarr,JaKarr Sampson,Sampson,9.4,20,3500,POR@IND,IND,POR,,,,0.7,0,0.3,0.2,0.2,2.02,0.3,0.5
44002-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,2.116666635,6,3500,SAC@OKC,SAC,OKC,,,,0.7,0,0.6,0.3,0.3,2.03,0.3,0.5
44002-20805,SG,Troy,Troy Daniels,Daniels,6.841025328,39,3500,LAL@GS,LAL,GS,,,,0.7,0,0.2,0.4,0.4,2.04,0.3,0.5
44002-18256,SF,Doug,Doug McDermott,McDermott,15.10172456,58,3500,POR@IND,IND,POR,,,,0.7,0,0.5,0.5,0.5,2.05,0.3,0.5
44002-84827,SG,Allonzo,Allonzo Trier,Trier,9.609090632,22,3500,NY@PHI,NY,PHI,,,,0.7,0,0.4,0.6,0.6,2.06,0.3,0.5
44002-115802,SF,Jaylen,Jaylen Hoard,Hoard,7.184615502,13,3500,POR@IND,POR,IND,,,,0.7,0,0.3,0.7,0.7,2.07,0.3,0.5
44002-117338,PF,Kenny,Kenny Wooten,Wooten,0,0,3500,NY@PHI,NY,PHI,O,Thumb,,0.7,0,0.6,0.8,0.8,2.08,0.3,0.5
44002-23155,SG,Naz,Naz Mitrou-Long,Mitrou-Long,11.90000025,3,3500,POR@IND,IND,POR,,,,0.7,0,0.2,0.9,0.9,2.09,0.3,0.5
44002-85106,SG,Deonte,Deonte Burton,Burton,5.822580645,31,3500,SAC@OKC,OKC,SAC,,,,0.7,0,0.5,0.1,0.1,2.1,0.3,0.5
44002-63123,SF,Mario,Mario Hezonja,Hezonja,11.13902469,41,3500,POR@IND,POR,IND,,,,0.7,0,0.4,0.2,0.2,2.11,0.3,0.5
44002-58270,PG,Edmond,Edmond Sumner,Sumner,10.24000015,20,3500,POR@IND,IND,POR,GTD,Hip,,0.7,0,0.3,0.3,0.3,2.12,0.3,0.5
44002-80815,PF,Zach,Zach Collins,Collins,16.80000051,3,3500,POR@IND,POR,IND,O,Shoulder,,0.7,0,0.6,0.4,0.4,2.13,0.3,0.5
44002-58289,SG,Kadeem,Kadeem Allen,Allen,10.53000031,10,3500,NY@PHI,NY,PHI,GTD,Concussion,,0.7,0,0.2,0.5,0.5,2.14,0.3,0.5
44002-80818,PF,T.J.,T.J. Leaf,Leaf,7.65833346,24,3500,POR@IND,IND,POR,,,,0.7,0,0.5,0.6,0.6,2.15,0.3,0.5
44002-80820,SG,Terrance,Terrance Ferguson,Ferguson,9.718181957,44,3500,SAC@OKC,OKC,SAC,,,,0.7,0,0.4,0.7,0.7,2.16,0.3,0.5
44002-15548,SG,Andre,Andre Roberson,Roberson,0,0,3500,SAC@OKC,OKC,SAC,O,Knee,,0.7,0,0.3,0.8,0.8,2.17,0.3,0.5
44002-9920,PF,Anthony,Anthony Tolliver,Tolliver,8.861905053,42,3500,SAC@OKC,SAC,OKC,,,,0.7,0,0.6,0.9,0.9,2.18,0.3,0.5
44002-84672,SG,Zhaire,Zhaire Smith,Smith,2.91428566,7,3500,NY@PHI,PHI,NY,,,,0.7,0,0.2,0.1,0.1,2.19,0.3,0.5
44002-15559,SG,Jeremy,Jeremy Lamb,Lamb,24.82608696,46,3500,POR@IND,IND,POR,O,Knee,,0.7,0,0.5,0.2,0.2,2.2,0.3,0.5
44002-84685,SF,Kevin,Kevin Hervey,Hervey,0.650000016,6,3500,SAC@OKC,OKC,SAC,,,,0.7,0,0.4,0.3,0.3,2.21,0.3,0.5
44002-9677,SF,Jared,Jared Dudley,Dudley,4.567567568,37,3500,LAL@GS,LAL,GS,,,,0.7,0,0.3,0.4,0.4,2.22,0.3,0.5
44002-58576,C,Kevon,Kevon Looney,Looney,10.09444427,18,3500,LAL@GS,GS,LAL,,,,0.7,0,0.6,0.5,0.5,2.23,0.3,0.5
44002-18393,PG,T.J.,T.J. McConnell,McConnell,18.69464329,56,3500,POR@IND,IND,POR,,,,0.7,0,0.2,0.6,0.6,2.24,0.3,0.5
44002-84699,SG,Hamidou,Hamidou Diallo,Diallo,13.22121175,33,3500,SAC@OKC,OKC,SAC,,,,0.7,0,0.5,0.7,0.7,2.25,0.3,0.5
44002-85466,PF,Wenyen,Wenyen Gabriel,Gabriel,4.885714213,21,3500,POR@IND,POR,IND,,,,0.7,0,0.4,0.8,0.8,2.26,0.3,0.5
44002-23772,PG,Yogi,Yogi Ferrell,Ferrell,8.445238386,42,3500,SAC@OKC,SAC,OKC,,,,0.7,0,0.3,0.9,0.9,2.27,0.3,0.5
44002-15582,PG,Quinn,Quinn Cook,Cook,8.376470229,34,3500,LAL@GS,LAL,GS,,,,0.7,0,0.6,0.1,0.1,2.28,0.3,0.5
44002-17894,PF,Mike,Mike Muscala,Muscala,9.881578947,38,3500,SAC@OKC,OKC,SAC,,,,0.7,0,0.2,0.2,0.2,2.29,0.3,0.5
44002-110829,SG,Brian,Brian Bowen,Bowen,2.650000095,4,3500,POR@IND,IND,POR,,,,0.7,0,0.5,0.3,0.3,2.3,0.3,0.5
44002-84718,PF,Alize,Alize Johnson,Johnson,3.28333346,12,3500,POR@IND,IND,POR,,,,0.7,0,0.43,0.4,0.4,2.31,0.3,0.5
44002-16368,PF,Mike,Mike Scott,Scott,10.92280659,57,3500,NY@PHI,PHI,NY,,,,0.7,0,0.44,0.5,0.5,2.32,0.3,0.5
44002-110320,SF,Matisse,Matisse Thybulle,Thybulle,14.00784362,51,3500,NY@PHI,PHI,NY,,,,0.7,0,0.45,0.6,0.6,2.33,0.3,0.5
44002-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,0.900000016,3,3500,LAL@GS,LAL,GS,,,,0.7,0,0.46,0.7,0.7,2.34,0.3,0.5
44002-110330,SG,Marial,Marial Shayok,Shayok,3.549999952,2,3500,NY@PHI,PHI,NY,,,,0.7,0,0.47,0.8,0.8,2.35,0.3,0.5
44002-110335,SF,Ignas,Ignas Brazdeikis,Brazdeikis,3.333333333,9,3500,NY@PHI,NY,PHI,,,,0.7,0,0.48,0.9,0.9,2.36,0.3,0.5
44002-110334,SG,Justin,Justin James,James,5.6875,32,3500,SAC@OKC,SAC,OKC,,,,0.7,0,0.49,0.1,0.1,2.37,0.3,0.5
